Örnek İndeksi,Gerçek Etiket,Modelin Tahmini,Metin
111,Positive,Negative,"great historical movie, will not allow a viewer to leave once you begin to watch. View is presented differently than displayed by most school books on this subject. My only fault for this movie is it was photographed in black and white; wished it had been in color ... wow !"
113,Negative,Positive,"Before I really slag this film off, I just want to say I absolutely loved it. <br /><br />Firstly, how many times in the film did the characters use the phrase ""You're Right.""? I'm sure i was counting in the hundreds before I gave up and started watching the film again.<br /><br />Secondly, what the hell is with those blue monkey things? OK, so the Dansen family led very private lives and had one brown eye one blue eye, but since when does that transform people into subterranean carnivorous blue zombie-creatures?<br /><br />and finally, 'Old faithful here will protect me' hahaha :)"
118,Negative,Positive,"I own this movie. And it is terribly hard to find. It is a unique low budget little gore flick about a doctor seeking the perfect companion. It has the really humourous low budget feel to it, and the gore is suprisingly good for what appears to be a $500 budget. The director is claimed to be the master of gore. I wouldn't go that far, but maybe in his time he was. Overall 6/10 on the gore chart."
128,Negative,Positive,"This film is notable for three reasons.<br /><br />First, apparently capitalizing on the success of the two 'Superman' serials, this low budget feature was made and released to theaters, marking George Reeves' and Phyllis Coates' initial appearances as Clark Kent / Superman and Lois Lane. Part of the opening is re-used in the series. Outside the town of Silby, a six-mile deep oil well penetrates the 'hollow Earth' allowing the 'Mole-Men' to come to the surface. Forget about the other holes (those in the plot).<br /><br />Second, unlike most SF invasion films of the fifties, the hero plays a dominant (and controlling) force in preaching and enforcing tolerance and acceptance of difference against a raging mob of segregationist vigilantes. No 'mild mannered reporter' here! Clark Kent, knowledgeable and self-assertive, grabs control of the situation throughout (""I'll handle this!""), even assisting in a hospital gown in the removal of a bullet from a Mole-Man! As Superman, he is gentler than Clark towards the feisty Lois, but is also the voice of reason and tolerance as he rails against the vigilantes as ""Nazi storm troopers."" <br /><br />Third, you will notice that the transition from the Fleisher-like cartoon animated flying of Superman in the two serials to the 'live action' flying in the 'Adventures of Superman' had not yet been made."
133,Negative,Positive,"It would be wrong and reprehensible of me to advise you to watch Killjoy 2, you must have better things to do, washing the car, throwing stones in a stream, but at the same time it's nowhere near as awful as you probably think it is. It's almost a proper film, which a lot more than most straight-to-DVD sludge can manage. Killjoy 2 is helped a great deal by Trent Haaga's manic turn as the eponymous clown, he throws himself into the role with such fevered abandonment that he almost tips the scales in the movie's favour, but, of course, it takes more than one man in big shoes. Tammi Sutton gives the most entertaining director cameo since Roger Corman in Creature from the Haunted Sea and the whole thing is nearly destroyed by the rushed, sugary ending. All over the place and almost good fun."
166,Positive,Negative,"I just finished viewing this finely conceived, and beautifully acted/directed movie. It was nip and tuck as to whether I was going to waste my time viewing a movie on the Lifetime Movie Network because of the horribly distracting commercials. Reading the earlier comments persuaded me to give it a shot. After all the worst that could happen would be that I might fall asleep during one of the boring yet lengthy bug spray ads. So why did I watch it? mainly because when IMDB gives a movie a ""WEIGHTED AVERAGE"" OF 5.8 WHO'S STATISTICAL AVERAGE was 7.3 It must be a sure hit.<br /><br />I was totally delighted to have taken the time to view this movie, commercial pox and all. Helen Hunt continues to amaze me with her ability to take on tough roles adapting her core persona to fit each role.<br /><br />The portrait she painted in this film of the tough yet perceptively human police officer was beautifully executed. When the scene calls for quick witted, timely delivered verbal intercourse, she can stand toe to toe with any actor. Yet she is adept at the delivery of volumes of emotional response without uttering a word relying only on facial expression and body language. Without the commercials, which by design kill the continuity of any good film, This would have been a real edge-of-the-seat nail-biter. I gave it a 9.0"
167,Positive,Negative,"I grew up with the Abbott and Costello movies, A. because my dad grew up with them and both our last names are abbott so we owe the deo a bit of respect, I didnt realize the flack this movie and others of theres gets. It was a really clasic due, it was funny cause abbott and costello were always the same characters, but it was sooo funny, now what i like about jack and the beanstalk is that even though the love story is totally boring and that one song the prince sings, omg , awefull, but i like the angle they took on the love, story, the couple has to get married cause one kingdom is running out of money, they meet in the jail cell and fall in love becaue they both pretend not to be royal and they end up being the couple, so happy ending, i dont think that was the orginal version, if it was they should have cut it out of this movie, but i think it was orginal and i love it. but watching it sucks, lol, also when the movie really kicks in with the giant + abbott and costello it is sooooo funny. when the giant is beating jack into the door and jack is screaming ""OPEN THE DOOR, OPEN THE DOOR"" that stuff is really funny. And that once joke where jack starts screaming prince, prince and all those dogs jump him. kinda cheezy but really orginal. i wish they would have al least tried to remaster it, though i got that africa screams\jack and the beanstalk, and i dont mind the quality cause when i had it on tape it was bad quality also so whatever i guess. the begining is mildly funny the middle is really really funny, and the end is not funny in the least, but i am 19 years old and when a movie made in 52 makes me laugh this hard, it rocks, this movie is really funny. i love their style. also the chapters suck. also the part where jack is climbing the beanstalk and they are all singing a song about what a dipstick jack is and that he will be killed, thats pretty funny"
182,Negative,Positive,"...than you easily spot the biggest fault of the movie. What was the motive? The details of the murders were used, but never explained. I guess the team got too much into the atmosphere, which is great, but the story is definitely lacking. There is no thread to follow. I guess if that was done properly, the movie would've lasted a bit longer, but it would've been worth it, at least for me.<br /><br />Casting is very good, I loved Wilson as the vulnerable Vicky.<br /><br />Not much more to say, really. But I really wish they've concentrated a bit more on the less obvious.<br /><br />"
208,Negative,Positive,"This was thought to be the flagship work of the open source community, something that would stand up and scream at the worlds media to take notice as we're not stuck in the marketing trap with our options in producing fine work with open source tools. After the basic version download ( die hard fan here on a dial-up modem ) eventually got here I hit my first snag. Media Player, Mplayer Classic & winamp failed to open it on my xp box, and then Totem, xine & kaffeine failed to open it on my suse server. Mplayer managed to run it flawlessly. Going to be hard to spread the word about it if normal users cant even open it...<br /><br />The Film. Beautiful soundtrack, superb lighting, masterful camera work and flawless texturing. Everything looked real. And then the two main characters moved.... and spoke... And the movie died for me. Everything apart from the lip syncing and the actual animation of the two main characters ( except for Proog in the dancing scene ) looked fluid and totally alive. The two main characters were animated so poorly that at times i was wondering if there are any games on the market at the moment with cut-scenes that entail less realism than this.<br /><br />Any frame in the movie is fantastic.. as a frame, and the thing is great if neither actors are moving. I'm so glad i haven't actually recommended this to anyone. I'd ruin my reputation.<br /><br />Oh, and final fantasy had a more followable and cunningly devised plot.<br /><br />this movie would get 10 stars if it wasn't for the tragedy that sits right there on the screen."
210,Positive,Negative,"This film has a lot of raw potential. The script is sharp, the dialogue is (usually) excellent (though it could stand to lose the cheezy voice-overs), the direction and cinematography is surprisingly quite good, though some of the experimentation just doesn't work. The main problem here is David Duchovny. Once a geek-boy, always a geek-boy; and the sad, simple fact is that he's incapable of playing anything but Fox Mulder. He postures, he tries to be slick, he poses, he tries to be macho. In the end he just tries too hard. He overplays his character, he overspeaks his lines, and he's just outplayed in all ways by Timothy Hutton and Angelina Jolie, who are each in a class above him in terms of acting skill. Timothy Hutton was (as always) really good. There was a spotty moment or two where he over-dramatized his role, but you could tell he was having fun with it. He looked the part, and he became the character both physically and atmospherically. Angelina Jolie was also really good. She didn't have much of a role; in fact, I though she could have used a much stronger one...her character wasn't nearly developed enough, though she did remarkably well with what she had. And the chemistry between her and Hutton was apparent (gee, maybe that's why Uma left him...;) All in all, it was rough around the edges, but a solid effort by a good cast and great supporting roles. If David Duchovny hadn't ripped his role to pieces it would've been *that* much better. 7/10."
215,Negative,Positive,"Since most review's of this film are of screening's seen decade's ago I'd like to add a more recent one, the film open's with stock footage of B-17's bombing Germany, the film cut's to Oskar Werner's Hauptmann (captain) Wust character and his aide running for cover while making their way to Hitler's Fuehrer Bunker, once inside, they are debriefed by bunker staff personnel, the film then cut's to one of many conference scene's with Albin Skoda giving a decent impression of Adolf Hitler rallying his officer's to ""Ultimate Victory"" while Werner's character is shown as slowly coming to realize the bunker denizen's are caught up in a fantasy world-some non-bunker event's are depicted, most notable being the flooding of the subway system to prevent a Russian advance through them and a minor subplot involving a young member of the Flak unit's and his family's difficulty in surviving-this film suffer's from a number of detail inaccuracies that a German film made only 10 year's after WW2 should not have included; the actor portraying Goebbels (Willy Krause) wear's the same uniform as Hitler, including arm eagle- Goebbels wore a brown Nazi Party uniform with swastika armband-the ""SS"" soldier's wear German army camouflage, the well documented scene of Hitler awarding the iron cross to boy's of the Hitler Youth is shown as having taken place INSIDE the bunker (it was done outside in the courtyard) and lastly, Hitler's suicide weapon is clearly shown as a Belgian browning model 1922-most account's agree it was a Walther PPK-some bit's of acting also seem wholly inaccurate with the drunken dance scene near the end of the film being notable, this bit is shown as a cabaret skit, with a intoxicated wounded soldier (his arm in a splint) maniacally goose-stepping to music while a nurse does a combination striptease/belly dance, all by candlelight... this is actually embarrassing to watch-the most incredible bit is when Werner's Captain Wust gain's an audience alone with Skoda's Hitler, Hitler is shown as slumped on a wall bench, drugged and delirious, when Werner's character begin's to question him, Hitler start's screaming which bring's in a SS guard who mortally wound's Werner's character in the back with a gunshot-this fabricated scene is not based on any true historic account-Werner's character is then hauled off to die in a anteroom while Hitler prepare's his own ending, Hitler's farewell to his staff is shown but the suicide is off-screen, the final second's of the movie show Hitler's funeral pyre smoke slowly forming into a ghostly image of the face of the dead Oskar Werner/Hauptmann Wust-this film is more allegorical than historical and anyone interested in this period would do better to check out more recent film's such as the 1973 remake ""Hitler: the last 10 day's"" or the German film ""Downfall"" (Der Untergang) if they wish a more true accounting of this dramatic story, these last two film's are based on first person eyewitness account's, with ""Hitler: the last 10 day's"" being compiled from Gerhard Boldt's autobiography as a staff officer in the Fuehrer Bunker and ""Downfall"" being done from Hitler's secretary's recollection's, the screen play for ""Der Letzte Akte"" is taken from American Nuremberg war crime's trial judge Michael Musmanno's book ""Ten day's to die"", which is more a compilation of event's (many obviously fanciful) than eyewitness history-it is surprising that Hugh Trevor Roper's account,""The last day's of Hitler"" was never made into a film."
223,Positive,Negative,"Wow, its been quite a while since I've watched anything so mysterious in the way it is portrayed.<br /><br />A Detective Story uses old fashioned black and white images to portray a private investigator who dresses in an old fashioned trench coat and hat. The theme of this animation is reminiscent of that of Sam Spayed which was briefly mentioned by Ash.<br /><br />Sick of spying on cheating house wives because of his clients, Ash was offered a chance to track down a ""computer hacker"" which he thought was a worthwhile chance for a four figure sum he could not turn down and the rest is history.<br /><br />The ending was a little bit bland but still okay. For those out there who like old fashion stories this is the one for you."
257,Positive,Negative,"Where do I start. Do I say how great the cinematography is. Do I praise certain scenes which show the directors creativity. Do I tell how realistic the scenes on Ellis Island are. Should I mention that for a change we do not have the cliché scene of viewing Statue Of Liberty. (By now immigrants viewing the statue from the ships railing is a cliché)<br /><br />Now whats not likable, two major things, one being a modern song score & not even a good one to boot.<br /><br />Second & nearly deadly the film is boring it moves so slow, that watching paint dry would be an improvement.<br /><br />The 118 minute running time is to long & yet the film seems unfinished. We see no scenes of this family in the US. Our hero mentions he wants to find his twin brother, I would have enjoyed scenes of his futile of maybe lucky search, instead of other drawn out scenes.<br /><br />The film is a near miss.<br /><br />Ratings *** (out of 4) 81 points (out of 100) IMDb 7 (out of 10)"
259,Negative,Positive,"One of the most disgusting films I have ever seen. I wanted to vomit after watching it. I saw this movie in my American History class and the purpose was to see an incite on the life of a farmer in the West during the late 1800's. What we saw were pigs being shot and then slaughtered, human birth, branding. Oh and at the end there was a live birth of a calf and let me tell you that the birth itself wasn't too bad, but the numerous fluids that came out drove most people in my class to the bathroom. The story itself was OK. The premise of the story is a widow and her daughter and they move to the west to be a house keeper of this cowboy. They live a life of hardship and it is an interesting a pretty accurate view of life in the West during the late 1800's. But if you have a choice, do not see this movie."
261,Negative,Positive,"You could see the final outcome from a mile away.All the signs were there....the prom,the liquor,the fast ride,the distraction of the females.... A good commercial for seatbelt usage,and later model vehicles that sit the passengers further back from the windshield.Also,the ending is rather anti climatic,as the Ford Econoline van barely suffers a crease across its nose after hitting a bridge abuttment at high speed (highly unlikely).More damage to the van would have made it a little more believable.And why do these films always take place during/after a prom? Is it a case of once you survive the prom,you will be good for life? More than anything else,it shows the lack of policing the prom for liquor,and not keeping tabs on the MINORs who are leaving the dance for a joyride."
266,Negative,Positive,"There were so many classic movies that were made where the leading people were out-and- out liars and yet they are made to look good. I never bought into that stuff. The ""screwball comedies"" were full of that stuff and so were a lot of the Fred Astaire films.<br /><br />Here, Barbara Stanwyck plays a famous ""country"" magazine writer who has been lying to the public for years, and feels she has to keep lying to keep her persona (and her job). She even lies to a guy about getting married, another topic that was always trivialized in classic films.<br /><br />She's a New York City woman who pretends she's a great cook and someone who knows how to handle babies, etc. Obviously she knows nothing and the lies pile up so fast you lose track. I guess all of that is supposed to be funny because lessons are learned in the end and true love prevails, etc. etc. Please pass the barf bag.<br /><br />Most of this film is NOT funny. Stanwyck was far better in the film noir genre. As for Dennis Morgan, well, pass the bag again."
306,Positive,Negative,"To a certain extent, I actually liked this film better than the original VAMPIRES. I found that movie to be quite misogynistic. As a woman and a horror fan, I'm used to the fact that women in peril are a staple of the genre. But they just slap Sheryl Lee around way too much. In this movie, Natasha Wagner is a more fully-realized character, and the main bad guy is a gal! Arly Jover (who played a sidekick vamp in BLADE) is very otherworldly and deadly. Jon Bon Jovi... okay, yeah, no great actor, but he does OK. At least he doesn't start to sing. Catch it on cable if you can. It's on Encore Action this month."
310,Negative,Positive,"The Lady in Cement is a veritable course on social anthropology of the late 60's. The writing, not the acting, is at center stage. Did I say - pure camp! Prepare to be offended if you are female or gay. Broad and dame are standard terms and gay baiting and bashing are represented for what they were in the day (camp- wise). Most of the lines are tossed off although there are wonderful performances by a very few outstanding character actors. The action scenes are mundane but it is fun to see Dan Blocker play a tough guy who likes bashing toughs. And Lanie Kazan and Racquel Welsh are at the voluptuous peak of their careers. Amazing to note they were both 28 years old and Mr. Sinatra was 53. The musical score, wait . . . was there a score? Well, you get the point. Watch it with friends who want a good laugh. it's full of them."
317,Negative,Positive,"HAPPY DAYS was one of my favorite shows when it aired in 1974. But the critics were quick to show their ignorance combined with a total lack of a sense of humor by slamming this show because they thought it was a cheap attempt to cash-in on the success of American GRAFFITTI.<br /><br />There were some similarities between American GRAFFITTI and HAPPY DAYS.<br /><br />Both opened with ""Rock Around the Clock"" by Bill Haley & the Comets. Both took place in a bygone era and both featured Ron Howard as one of the leading roles. But there were also some major differences. While American GRAFFITTI took place in 1962 California and centered around a group of newly graduated high school students about to take that big step into adulthood, HAPPY DAYS took place in Milwaulkee, Wisconson and centered around a group of teenagers in high school, dealing with the joys and tribulations of adolescence.<br /><br />HAPPY DAYS originally opened with the juke box playing the original version of Bill Haley & the Comets' ROCK AROUND THE CLOCK. But when oldies became hot, thanks to the success of American GRAFFITTI, , and the original 1954 version of ROCK AROUND THE CLOCK, entered the Billboard Hot 100 and became a hit again in 1974, royalty payments went through the roof. So a ""remake"" of the song (the correct term is now ""new stereo recording"") was quickly substituted.<br /><br />The current theme song for HAPPY DAYS was then introduced for the second season if memory serves me right.<br /><br />Fans and foes alike agree that this show is escapist. Liberties were taken and details overlooked, making this show less than completely authentic.<br /><br />This is perfectly fine. HAPPY DAYS is supposed to be a comedy, not a history lesson. But occasionally the writers did sometimes stick their necks out by hitting on controversial topics. One episode centered around the Cunninghams building of a fall out shelter. Another episode was about a divorced woman moving into the neighborhood with a dream of starting a new life. The topic of prejudice was addressed when Howard was invited to the wedding of an old army buddy who just happened to be black (in an era when prejudice and discrimination was sadly an acceptable part of the American way of life). The issue of the draft even came up on a later episode!<br /><br />The show as originally set in 1955. One problem that was dealt wisely was with the cast. Most of them were teenagers and as each year passed, it was obvious that they grew older so the series aged with the cast, moving the series out of the safe waters of the Eisenhower years into the Age of Camelot, all the way with JFK and then into the turbulent later half of the 1960s. That, along with the writers running out of ideas, and later, cast members like Ron Howard leaving the series, wisely quitting while they were ahead, left me wishing that they had all done the right thing by pulling the plug on this show and quitting while they were ahead. That, along with the idol worshiping studio audience who just couldn't control themselves every time the Great Fonzie entered the scene, began to wear very thin very fast.<br /><br />This show originally portrayed the Fabulous Fifties as we LIKE to remember that era. Time heals wounds, you know. Everything has its place and though I would prefer hearing the ""original hit versions"" over those ""new stereo recordings"", those ""new stereo recordings"" worked very well on HAPPY DAYS. And this is where I find myself regretting my buying the DVD! Unlike the complete first season DVD, the original music on the complete second season, has been replaced with different music. While it is great that the original episodes were digitally restored to digital perfection, the removal of the original music destroyed what it was that made this show so much fun to watch!"
341,Positive,Negative,"Looking for Quo Vadis at my local video store, I found this 1985 version that looked interesting. Wow! It was amazing! Very much a Ken Russell kind of film -quirky, stylized, very artistic, and of course ""different."" Nero was presented not so much as evil incarnate, but as a wacky, unfulfilled emperor who would rather have had a circus career. He probably wondered why on earth he was put in the position of ""leading"" an empire -it wasn't much fun, and fun is what he longed for. Klause Maria Bandaur had a tremendous time with this role and played it for all it was worth. Yes, Nero persecuted the Christians with a vengeance; one of many who did so. At one point one of his henchmen murmurs: ""No one will ever understand we were simply protecting ourselves."" He got that right."
